,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tên vật tư,Mã,Mã vật tư tính giá,Đvt,Đvt hộp,Hệ số hộp,Đvt M2,Hế số M2,Loại vật tư,Mã nhóm mẹ,Hãng sản xuất,Nhóm hàng,Sản phẩm,Thuế TTĐB,Đơn vị cơ sở,Quy cách,Quy cách Code,Id,Ngày tạo mới
Gạch 60x60 MS 8752 loại 1,03.L1.6060.8752.7,03.L1.6060.8752,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15962,10/17/2018
Gạch 60x60 MS 8753 loại 1,03.L1.6060.8753.1,03.L1.6060.8753,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15963,7/18/2019
Gạch 60x60 MS 8753 loại 1,03.L1.6060.8753.2,03.L1.6060.8753,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15964,10/17/2018
Gạch 60x60 MS 8753 loại 1,03.L1.6060.8753.3,03.L1.6060.8753,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15965,12/22/2017
Gạch 60x60 MS 8753 loại 1,03.L1.6060.8753.4,03.L1.6060.8753,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15966,7/25/2018
Gạch 60x60 MS 8753 loại 1,03.L1.6060.8753.5,03.L1.6060.8753,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15967,9/21/2017
Gạch 60x60 MS 8753 loại 1,03.L1.6060.8753.6,03.L1.6060.8753,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15968,6/20/2018
Gạch 60x60 MS 8753 loại 1,03.L1.6060.8753.7,03.L1.6060.8753,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15969,6/16/2018
Gạch 60x60 MS 8753 loại 1,03.L1.6060.8753.8,03.L1.6060.8753,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15970,6/18/2018
Gạch 60x60 MS 8753 loại 1,03.L1.6060.8753.9,03.L1.6060.8753,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15971,3/6/2019
Gạch 60x60 MS 8802 loại 1,03.L1.6060.8802.5,03.L1.6060.8802,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15972,9/1/2018
Gạch 60x60 MS 8804 loại 1,03.L1.6060.8804.5,03.L1.6060.8804,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15973,9/1/2018
Gạch 60x60 MS 8804 loại 1,03.L1.6060.8804.6,03.L1.6060.8804,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15974,12/24/2018
Gạch 60x60 MS 8851 loại 1,03.L1.6060.8851.4,03.L1.6060.8851,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15975,12/19/2018
Gạch 60x60 MS 8851 loại 1,03.L1.6060.8851.5,03.L1.6060.8851,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,03.60X60,NCC0071,GACH,,0%,,gạch quy cách 60x60,6060,15976,9/1/2018
Gạch 80x80 MS 9000 loại 1,03.L1.8080.9000.9,03.L1.8080.9000,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15977,2/24/2021
Gạch 80x80 MS 9002 loại 1,03.L1.8080.9002.2,03.L1.8080.9002,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15978,3/29/2018
Gạch 80x80 MS 9002 loại 1,03.L1.8080.9002.3,03.L1.8080.9002,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15979,7/1/2019
Gạch 80x80 MS 9002 loại 1,03.L1.8080.9002.4,03.L1.8080.9002,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15980,12/14/2017
Gạch 80x80 MS 9002 loại 1,03.L1.8080.9002.6,03.L1.8080.9002,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15981,12/8/2017
Gạch 80x80 MS 9002 loại 1,03.L1.8080.9002.8,03.L1.8080.9002,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15982,12/14/2017
Gạch 80x80 MS 9002 loại 1,03.L1.8080.9002.9,03.L1.8080.9002,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15983,5/16/2019
Gạch 80x80 MS 9004 loại 1,03.L1.8080.9004.6,03.L1.8080.9004,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15984,5/31/2017
Gạch 80x80 MS 9005 loại 1,03.L1.8080.9005.4,03.L1.8080.9005,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15985,11/15/2017
Gạch 80x80 MS 9005 loại 1,03.L1.8080.9005.6,03.L1.8080.9005,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15986,5/31/2017
Gạch 80x80 MS 9005 loại 1,03.L1.8080.9005.7,03.L1.8080.9005,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15987,2/27/2018
Gạch 80x80 MS 9005 loại 1,03.L1.8080.9005.8,03.L1.8080.9005,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15988,11/23/2018
Gạch 80x80 MS 9006 loại 1,03.L1.8080.9006.5,03.L1.8080.9006,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15989,10/5/2017
Gạch 80x80 MS 9006 loại 1,03.L1.8080.9006.6,03.L1.8080.9006,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15990,5/3/2018
Gạch 80x80 MS 9007 loại 1,03.L1.8080.9007,03.L1.8080.9007,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15991,3/2/2018
Gạch 80x80 MS 9008 loại 1,03.L1.8080.9008,03.L1.8080.9008,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15992,3/2/2018
Gạch 80x80 MS 9009 loại 1,03.L1.8080.9009.5,03.L1.8080.9009,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15993,8/27/2018
Gạch 80x80 MS 9009 loại 1,03.L1.8080.9009.7,03.L1.8080.9009,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15994,12/15/2017
Gạch 80x80 MS 9011 loại 1,03.L1.8080.9011.2,03.L1.8080.9011,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15995,5/9/2019
Gạch 80x80 MS 9011 loại 1,03.L1.8080.9011.3,03.L1.8080.9011,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15996,3/13/2019
Gạch 80x80 MS 9011 loại 1,03.L1.8080.9011.4,03.L1.8080.9011,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15997,7/18/2018
Gạch 80x80 MS 9011 loại 1,03.L1.8080.9011.5,03.L1.8080.9011,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15998,12/11/2017
Gạch 80x80 MS 9011 loại 1,03.L1.8080.9011.6,03.L1.8080.9011,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,15999,5/3/2018
Gạch 80x80 MS 9011 loại 1,03.L1.8080.9011.7,03.L1.8080.9011,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16000,10/8/2018
Gạch 80x80 MS 9011 loại 1,03.L1.8080.9011.8,03.L1.8080.9011,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16001,3/6/2019
Gạch 80x80 MS 9012 loại 1,03.L1.8080.9012.3,03.L1.8080.9012,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16002,10/16/2018
Gạch 80x80 MS 9012 loại 1,03.L1.8080.9012.4,03.L1.8080.9012,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16003,12/11/2017
Gạch 80x80 MS 9012 loại 1,03.L1.8080.9012.6,03.L1.8080.9012,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16004,3/22/2018
Gạch 80x80 MS 9013 loại 1,03.L1.8080.9013.5,03.L1.8080.9013,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16005,8/8/2018
Gạch 80x80 MS 9013 loại 1,03.L1.8080.9013.6,03.L1.8080.9013,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16006,12/12/2017
Gạch 80x80 MS 9014 loại 1,03.L1.8080.9014.3,03.L1.8080.9014,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16007,4/10/2019
Gạch 80x80 MS 9014 loại 1,03.L1.8080.9014.4,03.L1.8080.9014,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16008,10/5/2017
Gạch 80x80 MS 9014 loại 1,03.L1.8080.9014.5,03.L1.8080.9014,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16009,8/8/2018
Gạch 80x80 MS 9014 loại 1,03.L1.8080.9014.6,03.L1.8080.9014,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16010,9/17/2018
Gạch 80x80 MS 9014 loại 1,03.L1.8080.9014.7,03.L1.8080.9014,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16011,7/23/2019
Gạch 80x80 MS 9016 loại 1,03.L1.8080.9016.3,03.L1.8080.9016,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16012,5/10/2019
Gạch 80x80 MS 9016 loại 1,03.L1.8080.9016.4,03.L1.8080.9016,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16013,7/18/2018
Gạch 80x80 MS 9016 loại 1,03.L1.8080.9016.5,03.L1.8080.9016,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16014,12/14/2017
Gạch 80x80 MS 9016 loại 1,03.L1.8080.9016.6,03.L1.8080.9016,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16015,7/27/2019
Gạch 80x80 MS 9017 loại 1,03.L1.8080.9017.5,03.L1.8080.9017,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16016,2/28/2018
Gạch 80x80 MS 9103 loại 1,03.L1.8080.9103.5,03.L1.8080.9103,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16017,10/5/2017
Gạch 80x80 MS 9104 loại 1,03.L1.8080.9104.5,03.L1.8080.9104,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16018,4/24/2018
Gạch 80x80 MS 9105 loại 1,03.L1.8080.9105.5,03.L1.8080.9105,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16019,4/24/2018
Gạch 80x80 MS 9106 loại 1,03.L1.8080.9106.5,03.L1.8080.9106,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16020,4/24/2018
Gạch 80x80 MS 9201 loại 1,03.L1.8080.9201.5,03.L1.8080.9201,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16021,4/6/2018
Gạch 80x80 MS 9202 loại 1,03.L1.8080.9202.5,03.L1.8080.9202,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16022,4/6/2018
Gạch 80x80 MS 9203 loại 1,03.L1.8080.9203.5,03.L1.8080.9203,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16023,4/6/2018
Gạch 80x80 MS 9204 loại 1,03.L1.8080.9204.5,03.L1.8080.9204,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16024,4/6/2018
Gạch 80x80 MS 9205 loại 1,03.L1.8080.9205.5,03.L1.8080.9205,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16025,4/6/2018
Gạch 80x80 MS 9205 loại 1,03.L1.8080.9205.7,03.L1.8080.9205,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16026,10/30/2019
Gạch 80x80 MS 9206 loại 1,03.L1.8080.9206.5,03.L1.8080.9206,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16027,4/6/2018
Gạch 80x80 MS 9271 loại 1,03.L1.8080.9271.5,03.L1.8080.9271,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,03.80X80,NCC0071,GACH,,0%,,gạch quy cách 80x80,8080,16028,4/6/2018
Gạch 30x30 MS 6377 Loại 2,03.L2.3030.6377,03.L2.3030.6377,Viên,Hộp,11.00,M2,11.11,Vật tư hàng hóa,03.30X30,NCC0465,GACH,,0%,,gạch quy cách 30x30,3030,22196,8/1/2022
Gạch 30x45 MS 6064 loại 2,03.L2.3045.6064.0,03.L2.3045.6064,Viên,Hộp,7.00,M2,7.41,Vật tư hàng hóa,03.30X45,NCC0465,GACH,,0%,,gạch quy cách 30x45,3045,16029,7/13/2017
Gạch 30x45 MS 6065 loại 2,03.L2.3045.6065.0,03.L2.3045.6065,Viên,Hộp,7.00,M2,7.41,Vật tư hàng hóa,03.30X45,NCC0465,GACH,,0%,,gạch quy cách 30x45,3045,16030,7/13/2017
Gạch 30x45 MS 6066 loại 2,03.L2.3045.6066.0,03.L2.3045.6066,Viên,Hộp,7.00,M2,7.41,Vật tư hàng hóa,03.30X45,NCC0465,GACH,,0%,,gạch quy cách 30x45,3045,16031,7/13/2017
Gạch 30x45 MS 6067 Loại 2,03.L2.3045.6067.0,03.L2.3045.6067,Viên,Hộp,7.00,M2,7.41,Vật tư hàng hóa,03.30X45,NCC0465,GACH,,0%,,gạch quy cách 30x45,3045,16032,7/13/2017
Gạch ốp 30x45Vi MS 6072 loại 2,03.L2.3045.6072,,Hộp,, ,, ,Vật tư hàng hóa,DIEUPHOI,,GACH,,0%,,,,16033,5/26/2017
Gạch lát 30x45Th MS 6073 loại 2,03.L2.3045.6073,,Hộp,, ,, ,Vật tư hàng hóa,DIEUPHOI,,GACH,,0%,,,,16034,5/26/2017
Gạch ốp 30x45Vi MS 6074 loại 2,03.L2.3045.6074,,Hộp,, ,, ,Vật tư hàng hóa,DIEUPHOI,,GACH,,0%,,,,16035,5/26/2017
Gạch ốp 30x45Th MS 6075 loại 2,03.L2.3045.6075,,Hộp,, ,, ,Vật tư hàng hóa,DIEUPHOI,,GACH,,0%,,,,16036,5/26/2017
Gạch 30x45 MS 6075 loại 2,03.L2.3045.6075.6,03.L2.3045.6075,Viên,Hộp,7.00,M2,7.41,Vật tư hàng hóa,03.30X45,NCC0465,GACH,,0%,,gạch quy cách 30x45,3045,16037,1/9/2018
Gạch 30x60 MS 7314 Loại 2,03.L2.3060.7314,03.L2.3060.7314,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16038,5/8/2020
Gạch 30x60 MS 7316 Loại 2,03.L2.3060.7316,03.L2.3060.7316,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16039,5/8/2020
Gạch 30x60 MS 7341 Loại 2,03.L2.3060.7341,03.L2.3060.7341,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16040,3/14/2020
Gạch 30x60 MS 7343 Loại 2,03.L2.3060.7343,03.L2.3060.7343,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16041,3/14/2020
Gạch 30x60 MS 7344 Loại 2,03.L2.3060.7344,03.L2.3060.7344,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16042,3/17/2020
Gạch 30x60 MS 7346 Loại 2,03.L2.3060.7346,03.L2.3060.7346,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16043,7/16/2020
Gạch 30x60 MS 7347 Loại 2,03.L2.3060.7347,03.L2.3060.7347,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,21936,6/27/2022
Gạch 30x60 MS 7348 Loại 2,03.L2.3060.7348,03.L2.3060.7348,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,21937,6/27/2022
Gạch 30x60 MS 7349 Loại 2,03.L2.3060.7349,03.L2.3060.7349,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,21938,6/27/2022
Gạch 30x60 MS 7364 Loại 2,03.L2.3060.7364,03.L2.3060.7364,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16044,8/15/2020
Gạch 30x60 MS 7365 Loại 2,03.L2.3060.7365,03.L2.3060.7365,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16045,8/15/2020
Gạch 30x60 MS 7401 Loại 2,03.L2.3060.7401,03.L2.3060.7401,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16046,3/11/2020
Gạch 30x60 MS 7402 Loại 2,03.L2.3060.7402,03.L2.3060.7402,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16047,3/11/2020
Gạch 30x60 MS 7403 Loại 2,03.L2.3060.7403,03.L2.3060.7403,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16048,3/11/2020
Gạch 30x60 MS 7404 Loại 2,03.L2.3060.7404,03.L2.3060.7404,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16049,7/27/2020
Gạch 30x60 MS 7405 Loại 2,03.L2.3060.7405,03.L2.3060.7405,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16050,3/20/2020
Gạch 30x60 MS 7406 Loại 2,03.L2.3060.7406,03.L2.3060.7406,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16051,3/20/2020
Gạch 30x60 MS 7501 Loại 2,03.L2.3060.7501,03.L2.3060.7501,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16052,1/20/2018
Gạch 30x60 MS 7503 Loại 2,03.L2.3060.7503,03.L2.3060.7503,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16053,1/20/2018
Gạch 30x60 MS 7511 Loại 2,03.L2.3060.7511,03.L2.3060.7511,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16054,1/19/2018
Gạch 30x60 MS 7512 Loại 2,03.L2.3060.7512,03.L2.3060.7512,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16055,1/19/2018
Gạch 30x60 MS 7513 Loại 2,03.L2.3060.7513,03.L2.3060.7513,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16056,1/19/2018
Gạch 30x60 MS 7514 Loại 2,03.L2.3060.7514,03.L2.3060.7514,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16057,10/7/2017
Gạch 30x60 MS 7516 Loại 2,03.L2.3060.7516,03.L2.3060.7516,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16058,10/7/2017
Gạch 30x60 MS 7516 Loại 2,03.L2.3060.7516.3,03.L2.3060.7516,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16059,12/30/2017
Gạch 30x60 MS 7516 Loại 2,03.L2.3060.7516.4,03.L2.3060.7516,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16060,12/18/2017
Gạch 30x60 MS 7521 Loại 2,03.L2.3060.7521,03.L2.3060.7521,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16061,1/4/2018
Gạch 30x60 MS 7523 Loại 2,03.L2.3060.7523,03.L2.3060.7523,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16062,3/20/2020
Gạch 30x60 MS 7524 Loại 2,03.L2.3060.7524,03.L2.3060.7524,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16063,12/29/2017
Gạch 30x60 MS 7525 Loại 2,03.L2.3060.7525,03.L2.3060.7525,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16064,10/26/2017
Gạch 30x60 MS 7526 Loại 2,03.L2.3060.7526,03.L2.3060.7526,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16065,3/14/2020
Gạch 30x60 MS 7529 Loại 2,03.L2.3060.7529,03.L2.3060.7529,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0465,GACH,,0%,,gạch quy cách 30x60,3060,16066,10/17/2017
Gạch 30x60 MS 7611 Loại 2,03.L2.3060.7611,03.L2.3060.7611,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16067,7/7/2020
Gạch 30x60 MS 7612 Loại 2,03.L2.3060.7612,03.L2.3060.7612,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16068,6/10/2020
Gạch 30x60 MS 7613 Loại 2,03.L2.3060.7613,03.L2.3060.7613,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16069,7/7/2020
Gạch 30x60 MS 7614 Loại 2,03.L2.3060.7614,03.L2.3060.7614,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,16070,2/27/2021
Gạch 30x60 MS 7615 Loại 2,03.L2.3060.7615,03.L2.3060.7615,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,03.30X60,NCC0071,GACH,,0%,,gạch quy cách 30x60,3060,22249,8/11/2022
